Project,Overall_Score,Overall_Percentage,Overall_Grade,Overall_Status,Test_Coverage_Score,Test_Coverage_Grade,Test_Failures_Score,Test_Failures_Grade,Manuscript_Size_Score,Manuscript_Size_Grade,Outputs_Score,Outputs_Grade
act_inf_metaanalysis,90,90.0,A,Excellent,40,A,30,A,20,A,0,F
act_inf_metaanalysis_mine,100,100.0,A,Excellent,40,A,30,A,20,A,10,A
